time,dofs,dt,gr0area,grain_tracker,ngrains,run_time
0,0,0,0,2,0,0
1.5,139689,1.5,282636.95829031,2,2,3.009717488
3.3,307761,1.8,282428.41918695,2,2,8.291230368
5.46,415853,2.16,282114.35778656,2,2,16.210184432
8.052,426309,2.592,281689.6493411,2,2,24.9343233
11.1624,435357,3.1104,281160.547342,2,2,33.770189518
14.89488,435669,3.73248,280527.88281834,2,2,42.655125558
19.373856,436293,4.478976,279779.43050553,2,2,51.278132531
24.7486272,440349,5.3747712,278890.73271682,2,2,60.257023677
31.19835264,444717,6.44972544,277828.9531476,2,2,70.141638405
38.938023168,445945,7.739670528,276557.47504253,2,2,79.889177947
48.2256278016,445633,9.2876046336,275034.36656095,2,2,89.691545816
59.37075336192,440621,11.14512556032,273212.83068796,2,2,102.188233775
72.744904034304,440289,13.374150672384,271038.94392176,2,2,115.32379456
88.793884841165,443097,16.048980806861,268443.9476784,2,2,128.783484404
108.0526618094,443349,19.258776968233,265355.46911063,2,2,142.948242317
131.16319417128,439585,23.11053236188,261688.25061219,2,2,156.954840794
158.89583300553,440833,27.732638834255,257348.90586736,2,2,171.95524005
192.17499960664,439233,33.279166601107,252238.61610816,2,2,191.10191843
232.10999952797,437341,39.934999921328,246251.65237624,2,2,210.684626088
280.03199943356,439817,47.921999905593,239284.82805643,2,2,235.709815821
327.95399933915,438277,47.921999905593,232459.3171922,2,2,260.418832464
375.87599924475,428717,47.921999905593,225733.51804339,2,2,285.224349166
400,421773,24.124000755253,222271.31327472,2,2,298.376493352
